Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:33.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74401E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.4500	-0.001843	-0.037764	-0.000344	-0.004949	-0.017034
 0.4750	 	 	 	 	-0.004330
 0.5000	-0.003383	-0.024557	-0.000532	-0.002661	 0.003256
 0.5250	 	 	 	 	 0.004928
 0.5500	-0.003814	 0.007108	-0.000558	 0.001563	-0.001220
 0.5750	 	 	 	 	-0.018362
 0.6000	-0.002445	 0.047130	-0.000362	 0.006233	-0.042549
 0.6250	 	 	 	 	-0.080322
 0.6500	 0.000492	 0.068279	 0.000013	 0.008745	-0.118318
 0.6750	 	 	 	 	-0.165635
 0.7000	 0.003151	 0.034134	 0.000399	 0.006733	-0.201471
 0.7250	 	 	 	 	-0.229814
 0.7500	 0.002724	-0.052097	 0.000587	 0.001112	-0.238284
 0.7750	 	 	 	 	-0.227568
 0.8000	-0.001678	-0.118918	 0.000492	-0.004544	-0.203879
 0.8250	 	 	 	 	-0.164631
 0.8500	-0.007063	-0.087344	 0.000174	-0.008097	-0.134362
 0.8750	 	 	 	 	-0.118618
 0.9000	-0.007799	 0.062288	-0.000237	-0.008933	-0.128073
 0.9250	 	 	 	 	-0.169379
 0.9500	-0.000190	 0.234925	-0.000673	-0.009382	-0.220519
 0.9750	 	 	 	 	-0.356660
 1.0000	 0.015181	 0.354234	-0.001146	-0.010119	-0.415578


 -------- Mode No.  10  (freq = 0.17699E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.001631
 0.0500	-0.000188	-0.007335	-0.000099	-0.003892	 0.003254
 0.0750	 	 	 	 	 0.006201
 0.1000	-0.000764	-0.015757	-0.000389	-0.007774	 0.009061
 0.1250	 	 	 	 	 0.015468
 0.1500	-0.001656	-0.020023	-0.000827	-0.009879	 0.021287
 0.1750	 	 	 	 	 0.028135
 0.2000	-0.002519	-0.014765	-0.001264	-0.007864	 0.033309
 0.2250	 	 	 	 	 0.055338
 0.2500	-0.002819	 0.002990	-0.001489	-0.001208	 0.064631
 0.2750	 	 	 	 	 0.060392
