Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:32.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.33835E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.0500	 0.000000	 0.000000	-0.002266	-0.085526	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	-0.008150	-0.144413	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	-0.016241	-0.173783	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	-0.025019	-0.172186	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	-0.032944	-0.140389	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	-0.038584	-0.081949	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	-0.040758	-0.003374	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	-0.038685	 0.086064	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	-0.032100	 0.175030	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	-0.021341	 0.251122	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	-0.007361	 0.302257	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	 0.008322	 0.318317	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	 0.023772	 0.292839	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	 0.036852	 0.224435	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	 0.045512	 0.118004	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.048118	-0.014842	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.043766	-0.156809	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.032536	-0.286295	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.015644	-0.379887	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	-0.004541	-0.415650	 0.000000


 -------- Mode No.   7  (freq = 0.15168E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.005851
 0.0500	 0.000000	 0.000000	 0.000000	 0.000000	 0.011689
 0.0750	 	 	 	 	 0.017911
 0.1000	 0.000000	 0.000000	 0.000000	 0.000000	 0.024094
 0.1250	 	 	 	 	 0.030668
 0.1500	 0.000000	 0.000000	 0.000000	 0.000000	 0.037173
 0.1750	 	 	 	 	 0.044073
 0.2000	 0.000000	 0.000000	 0.000000	 0.000000	 0.050872
 0.2250	 	 	 	 	 0.058063
 0.2500	 0.000000	 0.000000	 0.000000	 0.000000	 0.065117
 0.2750	 	 	 	 	 0.072553
 0.3000	 0.000000	 0.000000	 0.000000	 0.000000	 0.079815
 0.3250	 	 	 	 	 0.087440
 0.3500	 0.000000	 0.000000	 0.000000	 0.000000	 0.094853
 0.3750	 	 	 	 	 0.102603
 0.4000	 0.000000	 0.000000	 0.000000	 0.000000	 0.110099
 0.4250	 	 	 	 	 0.117912
 0.4500	 0.000000	 0.000000	 0.000000	 0.000000	 0.125426
 0.4750	 	 	 	 	 0.133231
 0.5000	 0.000000	 0.000000	 0.000000	 0.000000	 0.140692
 0.5250	 	 	 	 	 0.148409
 0.5500	 0.000000	 0.000000	 0.000000	 0.000000	 0.155734
 0.5750	 	 	 	 	 0.163270
 0.6000	 0.000000	 0.000000	 0.000000	 0.000000	 0.170366
 0.6250	 	 	 	 	 0.177609
 0.6500	 0.000000	 0.000000	 0.000000	 0.000000	 0.184361
 0.6750	 	 	 	 	 0.191182
 0.7000	 0.000000	 0.000000	 0.000000	 0.000000	 0.197463
 0.7250	 	 	 	 	 0.203741
 0.7500	 0.000000	 0.000000	 0.000000	 0.000000	 0.209431
 0.7750	 	 	 	 	 0.215030
 0.8000	 0.000000	 0.000000	 0.000000	 0.000000	 0.219994
 0.8250	 	 	 	 	 0.224755
 0.8500	 0.000000	 0.000000	 0.000000	 0.000000	 0.228836
 0.8750	 	 	 	 	 0.232586
 0.9000	 0.000000	 0.000000	 0.000000	 0.000000	 0.235615
 0.9250	 	 	 	 	 0.238176
 0.9500	 0.000000	 0.000000	 0.000000	 0.000000	 0.239979
 0.9750	 	 	 	 	 0.241159
 1.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.241552


 -------- Mode No.   8  (freq = 0.16569E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000


 -------- Mode No.   9  (freq = 0.18785E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.003048	 0.111325	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.010196	 0.163798	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.018421	 0.155378	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.024796	 0.092382	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.026965	-0.008863	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.023621	-0.123257	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.014849	-0.221117	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.002208	-0.274377	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	-0.011529	-0.263670	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	-0.022974	-0.184340	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.028958	-0.049774	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.027429	 0.109541	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.018173	 0.252086	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.003131	 0.335287	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.013860	 0.327844	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.027946	 0.221595	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.034597	 0.037761	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.031077	-0.174571	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.017613	-0.348870	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.002172	-0.419394	 0.000000	 0.000000	 0.000000


 -------- Mode No.  10  (freq = 0.18786E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.003048	 0.111325	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	 0.010196	 0.163798	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	 0.018421	 0.155378	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	 0.024796	 0.092382	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	 0.026965	-0.008863	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	 0.023621	-0.123257	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	 0.014849	-0.221117	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	 0.002208	-0.274377	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	-0.011529	-0.263670	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	-0.022974	-0.184340	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	-0.028958	-0.049774	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	-0.027429	 0.109541	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	-0.018173	 0.252086	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	-0.003131	 0.335287	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	 0.013860	 0.327844	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.027946	 0.221595	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.034597	 0.037761	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.031077	-0.174571	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.017613	-0.348870	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	-0.002172	-0.419394	 0.000000


 -------- Mode No.  11  (freq = 0.31869E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	-0.003731	-0.131220	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	-0.011461	-0.160593	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	-0.018193	-0.095691	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	-0.019927	 0.031052	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	-0.014862	 0.166194	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.004090	 0.250829	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.008672	 0.242346	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.018408	 0.133485	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.020826	-0.040201	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.014331	-0.210001	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.001082	-0.299925	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.013491	-0.260441	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.022765	-0.095753	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.021884	 0.129690	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.010355	 0.312424	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.007090	 0.355868	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
